id,number,branch_name,type,business_date,total_price,discount_name,discounts,total_taxes,check_number,kitchen_notes,preparation_period,detailed_orders
38,584,Suburb,Delivery,28/09/2024,89.19,Loyalty Program,3.0,5.22081,160604.0,Extra hot,15 mins,"[{""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 3}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 2}]"
39,172,Downtown,Pick up,13/09/2024,72.11,-,2.7,2.85533,187757.0,-,15 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 3}, {""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 2}]"
40,258,Downtown,Dine In,17/09/2024,44.91,Holiday Sale,6.14,7.45791,113054.0,-,-,"[{""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 1}, {""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 3}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 2}]"
41,404,Uptown,Dine In,17/09/2024,10.03,Loyalty Program,0.27,5.01855,142354.0,-,-,"[{""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 2}]"
42,842,Suburb,Dine In,25/09/2024,16.76,-,0.3,5.26921,131766.0,Extra hot,10 mins,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}]"
43,965,Suburb,Delivery,31/08/2024,43.13,Loyalty Program,6.33,3.26537,166742.0,No onions,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 1}]"
44,897,Downtown,Pick up,22/09/2024,36.5,Loyalty Program,9.02,4.82731,130062.0,-,-,"[{""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 1}]"
45,251,Suburb,Pick up,21/09/2024,25.2,-,3.49,6.26529,180570.0,-,-,"[{""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 3}]"
46,833,Suburb,Pick up,17/09/2024,79.8,Holiday Sale,1.45,2.1474,124218.0,Extra hot,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 3}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 1}]"
47,404,Downtown,Pick up,15/09/2024,58.02,Loyalty Program,8.11,5.75207,181189.0,-,10 mins,"[{""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 2}]"
48,989,Suburb,Pick up,03/09/2024,73.16,-,7.57,7.65815,122321.0,No onions,-,"[{""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 2}]"
49,131,Downtown,Delivery,15/09/2024,53.06,-,1.5,3.93939,112174.0,No onions,-,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 1}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 1}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}]"
50,757,Uptown,Pick up,24/09/2024,44.98,-,7.03,3.49759,112163.0,-,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}]"
