id,number,branch_name,type,business_date,total_price,discount_name,discounts,total_taxes,check_number,kitchen_notes,preparation_period,detailed_orders
12,881,Suburb,Delivery,04/09/2024,42.7,Loyalty Program,8.44,8.78517,184047.0,Extra hot,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 2}, {""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 2}]"
13,865,Suburb,Dine In,15/09/2024,51.42,Loyalty Program,3.66,6.17235,143781.0,No onions,-,"[{""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 3}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 1}]"
14,117,Uptown,Pick up,18/09/2024,69.5,Holiday Sale,1.25,7.45139,111534.0,Extra hot,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 1}, {""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 3}]"
15,625,Suburb,Delivery,06/09/2024,37.53,Holiday Sale,6.41,4.98268,199300.0,Extra hot,15 mins,"[{""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}]"
16,256,Downtown,Pick up,11/09/2024,91.41,Loyalty Program,6.06,1.21975,123264.0,No onions,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 1}]"
17,556,Suburb,Dine In,30/09/2024,18.28,Loyalty Program,5.33,1.9379,153958.0,-,10 mins,"[{""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 1}]"
18,930,Downtown,Pick up,09/09/2024,97.87,-,1.07,9.98398,167676.0,-,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 3}, {""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 2}]"
19,905,Downtown,Dine In,23/09/2024,83.75,-,3.77,4.20167,165652.0,-,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 2}]"
20,714,Suburb,Delivery,02/09/2024,64.15,Holiday Sale,8.41,1.97317,184456.0,Extra hot,-,"[{""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 1}]"
21,467,Uptown,Dine In,06/09/2024,95.56,Holiday Sale,5.93,5.21445,198606.0,-,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 2}]"
22,523,Downtown,Dine In,25/09/2024,26.18,-,0.41,2.55649,114722.0,-,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 1}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}]"
23,652,Suburb,Dine In,09/09/2024,85.88,-,9.01,6.10774,183605.0,-,10 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 2}, {""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}]"
24,382,Suburb,Delivery,10/09/2024,15.55,Holiday Sale,9.1,5.86764,140122.0,Extra hot,15 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 3}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 3}, {""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 1}]"
25,693,Suburb,Delivery,08/09/2024,92.32,Loyalty Program,6.17,3.64403,133989.0,-,-,"[{""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 2}]"
26,289,Downtown,Pick up,12/09/2024,70.48,-,3.89,5.35244,107229.0,Extra hot,10 mins,"[{""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 1}]"
27,796,Downtown,Dine In,10/09/2024,11.72,Holiday Sale,6.03,6.54423,142968.0,-,10 mins,"[{""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 1}]"
28,958,Suburb,Delivery,18/09/2024,83.34,-,9.01,8.68619,184605.0,Extra hot,-,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 2}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 3}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 1}]"
29,169,Downtown,Delivery,04/09/2024,76.6,Loyalty Program,3.99,1.72824,137799.0,No onions,10 mins,"[{""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 2}]"
30,875,Downtown,Delivery,26/09/2024,51.21,-,1.17,1.05824,109361.0,Extra hot,10 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 3}]"
31,871,Downtown,Dine In,27/09/2024,78.32,-,9.51,2.66638,189463.0,Extra hot,15 mins,"[{""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 2}, {""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 3}, {""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 3}]"
32,761,Suburb,Pick up,02/09/2024,66.57,-,0.38,8.61679,140331.0,No onions,-,"[{""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 2}]"
33,486,Suburb,Pick up,13/09/2024,55.09,Loyalty Program,4.37,7.77089,127296.0,No onions,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 3}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 1}]"
34,972,Suburb,Dine In,01/09/2024,15.1,Holiday Sale,8.36,2.92479,179603.0,No onions,15 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 3}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 3}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 1}]"
35,162,Suburb,Dine In,14/09/2024,46.49,Holiday Sale,1.37,1.29198,183252.0,-,10 mins,"[{""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}, {""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 2}]"
36,815,Uptown,Pick up,20/09/2024,24.67,Loyalty Program,4.53,4.15292,170562.0,No onions,10 mins,"[{""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 1}, {""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 2}]"
37,948,Suburb,Delivery,24/09/2024,75.95,-,4.5,6.79168,120618.0,No onions,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 3}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 2}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 1}]"
38,966,Downtown,Pick up,06/09/2024,16.11,-,6.84,5.14109,198748.0,No onions,-,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 2}]"
39,336,Suburb,Dine In,18/09/2024,83.33,Holiday Sale,1.35,7.36444,147129.0,Extra hot,15 mins,"[{""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 1}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 3}]"
40,414,Downtown,Delivery,24/09/2024,26.97,Holiday Sale,7.58,8.77903,115387.0,Extra hot,15 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 1}, {""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 3}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}]"
41,623,Downtown,Dine In,08/09/2024,39.12,Loyalty Program,5.63,5.94116,190432.0,No onions,10 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 3}, {""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 2}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 1}]"
42,323,Uptown,Pick up,25/09/2024,44.64,Holiday Sale,6.03,2.95511,119785.0,No onions,15 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 1}]"
43,949,Suburb,Dine In,27/09/2024,51.94,-,4.29,2.90664,118571.0,-,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 3}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 3}]"
44,363,Downtown,Dine In,18/09/2024,34.53,-,1.69,2.76789,156564.0,-,15 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}]"
45,934,Uptown,Pick up,04/09/2024,23.72,Holiday Sale,3.62,1.66566,162726.0,Extra hot,15 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 2}]"
46,500,Suburb,Pick up,20/09/2024,62.11,Holiday Sale,8.09,9.25446,142656.0,-,15 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 1}, {""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 3}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 2}]"
47,178,Suburb,Dine In,16/09/2024,30.65,Loyalty Program,8.98,7.27053,161799.0,No onions,-,"[{""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 2}, {""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 2}]"
48,650,Suburb,Dine In,16/09/2024,42.32,Holiday Sale,2.35,5.23745,192204.0,No onions,10 mins,"[{""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 3}]"
49,975,Uptown,Pick up,20/09/2024,86.85,-,9.59,9.38039,175560.0,No onions,-,"[{""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 2}, {""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 2}]"
50,204,Downtown,Pick up,21/09/2024,38.62,-,3.2,8.61801,164687.0,No onions,15 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 2}]"
